"Идентификатор пользователя","Название приюта","Дата/время платежа","Наименование услуги","Сумма платежа"
25872,Лёхин дом,2019-11-15 10:14:46,Новогодний КотоНабор,100
25872,Котофей,2019-11-15 10:14:46,Рекламировать питомца (пакет Mini),78
25872,Добрые сердца,2019-11-15 10:14:46,Рекламировать питомца (пакет Mini),78
25872,Добрые сердца,2019-11-15 10:14:46,Порция вкуснейшего корма,100
28588,"Кошачий приют ""ДОМИК""",2019-11-15 11:18:39,КотоДень,76
28590,Люськин дом,2019-11-15 12:06:33,"1 КотоДень",97
28536,"Приют для кошек ""ЯрКот""",2019-11-15 12:42:24,Порция вкуснейшего корма,34
28536,Лаюшки и Мяушки,2019-11-15 12:42:24,ПёсоДень,155
28148,"Кошачий приют ""ДОМИК""",2019-11-15 12:51:56,КотоНеделя,720
28148,Убежище,2019-11-15 12:54:27, Новогодний КотоНабор,1250
28148,Мокрый нос,2019-11-15 13:03:44,Рекламировать питомца (пакет Maxi),265
28148,Мокрый нос,2019-11-15 13:03:44,"1 ПёсоДень",145
28148,"Кошачий приют ""ДОМИК""",2019-11-15 13:03:44,КотоДень,76
28148,"Кошачий приют ""ДОМИК""",2019-11-15 13:03:44,Рекламировать питомца (пакет Maxi),265
28148,Убежище,2019-11-15 13:03:44,"1 КотоДень",118
28148,Убежище,2019-11-15 13:03:44,Рекламировать питомца (пакет Maxi),265
4865,"Самарский приют для животных ""НадеждА""",2019-11-15 13:07:16,"1 КотоДень",105
4865,"Самарский приют для животных ""НадеждА""",2019-11-15 13:07:16,Избавить кошку от простуды,800
4865,"Самарский приют для животных ""НадеждА""",2019-11-15 13:07:16,"1 КотоДень",105
4865,"Самарский приют для животных ""НадеждА""",2019-11-15 13:07:16,Ошейник с адресником,156
4865,Матроскин,2019-11-15 13:07:16,Порция вкуснейшего корма,39
4865,Мокрый нос,2019-11-15 13:07:16,"1 ПёсоДень",145
4865,Кот и Пёс,2019-11-15 13:07:16,ПёсоДень,155
4865,Центральный приют Спб для бездомных кошек!,2019-11-15 13:07:16, Новогодний КотоНабор,300
4865,Шереметьевский приют,2019-11-15 13:07:16,Порция вкуснейшего корма,140
4865,Добрые сердца,2019-11-15 13:07:16,Избавить кошку от простуды,600
4865,"4 лапы",2019-11-15 13:07:16,ПёсоДень,155
4865,Лаюшки и Мяушки,2019-11-15 13:07:16,ПёсоДень,155
4865,"Кошачий приют ""ДОМИК""",2019-11-15 13:13:58,Наполнитель для туалета,20
28588,Котофей,2019-11-15 13:55:46,"1 КотоДень",87
28588,"Кошачий приют ""ДОМИК""",2019-11-15 13:59:48,КотоНеделя,720
1126,"Самарский приют для животных ""НадеждА""",2019-11-15 14:02:31,Корм с курицей и рисом ,42
1126,"Самарский приют для животных ""НадеждА""",2019-11-15 14:02:31,Корм с курицей и рисом ,42
1126,Люськин дом,2019-11-15 14:02:31,"1 КотоДень",97
1126,Кот и Пёс,2019-11-15 14:02:31,КотоДень,94
28588,Котофей,2019-11-15 14:03:11,"1 КотоДень",87
1126,"Самарский приют для животных ""НадеждА""",2019-11-15 14:06:11,Защитить питомца от вирусов (Фелиген),743
28588,Убежище,2019-11-15 14:18:54,"1 КотоДень",118
28588,Котофей,2019-11-15 14:18:54,"1 КотоДень",87
28588,"Самарский приют для животных ""НадеждА""",2019-11-15 14:31:41,Лечение дерматита,100
28588,"Самарский приют для животных ""НадеждА""",2019-11-15 14:31:41,Повысить иммунитет,100
28588,"Самарский приют для животных ""НадеждА""",2019-11-15 14:31:41,Избавить кошку от простуды,100
28588,"Самарский приют для животных ""НадеждА""",2019-11-15 14:31:41,Избавить питомца от глистов,200
28588,"Самарский приют для животных ""НадеждА""",2019-11-15 14:31:41,Избавить питомца от блох,100
28588,"Самарский приют для животных ""НадеждА""",2019-11-15 14:31:41,Успокаивающий ошейник с феромонами ,100
28588,"Самарский приют для животных ""НадеждА""",2019-11-15 14:31:41,Ошейник с адресником,156
28588,"Самарский приют для животных ""НадеждА""",2019-11-15 14:31:41,Защитить питомца от вирусов (Фелиген),97
28588,"Самарский приют для животных ""НадеждА""",2019-11-15 14:31:41,Избавить питомца от блох,100
28588,"Самарский приют для животных ""НадеждА""",2019-11-15 14:31:41,Избавить питомца от глистов,100
28588,"Самарский приют для животных ""НадеждА""",2019-11-15 14:31:41,Успокаивающий ошейник с феромонами ,100
28588,"Самарский приют для животных ""НадеждА""",2019-11-15 14:31:41,"1 КотоДень",105
28588,"Самарский приют для животных ""НадеждА""",2019-11-15 14:31:41,Ошейник с адресником,156
28588,"Кошачий приют ""ДОМИК""",2019-11-15 14:31:41,КотоДень,76
28588,Центральный приют Спб для бездомных кошек!,2019-11-15 14:31:41, Новогодний КотоНабор,200
28588,Добрые сердца,2019-11-15 14:31:41,Порция вкуснейшего корма,200
28588,Люськин дом,2019-11-15 14:42:45,"1 КотоДень",97
28588,"Кошачий приют ""ДОМИК""",2019-11-15 14:44:29,КотоДень,76
28591,"Кошачий приют ""ДОМИК""",2019-11-15 15:08:17,КотоДень,76
28591,"Приют для кошек ""ЯрКот""",2019-11-15 15:08:17,Порция вкуснейшего корма,34
3387,Убежище,2019-11-15 16:34:50,Рекламировать питомца (пакет Mini),78
26315,Убежище,2019-11-15 18:45:22, Новогодний КотоНабор,1250
28486,Мокрый нос,2019-11-15 19:09:19,"1 ПёсоДень",145
28486,Мокрый нос,2019-11-15 19:09:19,"1 ПёсоДень",145
28486,Кот и Пёс,2019-11-15 19:09:19,ПёсоДень,155
28486,Шереметьевский приют,2019-11-15 19:09:19,Порция вкуснейшего корма,140
28486,"4 лапы",2019-11-15 19:09:19,ПёсоДень,155
28486,Лаюшки и Мяушки,2019-11-15 19:09:19,ПёсоДень,155
27282,Люськин дом,2019-11-15 20:18:09, Новогодний КотоНабор,100
27282,Люськин дом,2019-11-15 20:18:09,Дневная порция вкуснейшего корма,51
28594,Котофей,2019-11-15 21:47:50,"1 КотоДень",87
27262,"Самарский приют для животных ""НадеждА""",2019-11-15 21:53:16,Лечение дерматита,100
27262,"Самарский приют для животных ""НадеждА""",2019-11-15 21:53:16,Избавить питомца от блох,100
27262,"Самарский приют для животных ""НадеждА""",2019-11-15 21:53:16,Избавить питомца от глистов,100
28132,Мокрый нос,2019-11-16 00:36:20,"1 ПёсоДень",145
28132,ФлагманВет,2019-11-16 00:36:20,"1 КотоДень",97
28132,ФлагманВет,2019-11-16 00:36:20,Наполнитель для туалета,20
28132,Люськин дом,2019-11-16 00:36:20,Наполнитель для туалета Fresh Step,36
28132,Люськин дом,2019-11-16 00:36:20, Новогодний КотоНабор,150
28132,Кот и Пёс,2019-11-16 00:36:20,ПёсоДень,155
25849,Кот и Пёс,2019-11-16 00:58:27,ПёсоДень,155
28438,Мокрый нос,2019-11-16 01:50:41,Новогодний ПёсоНабор,600
28438,Мокрый нос,2019-11-16 01:53:58,Новогодний ПёсоНабор,600
28340,Матроскин,2019-11-16 08:43:11,Порция вкуснейшего корма,39
28340,"Самарский приют для животных ""НадеждА""",2019-11-16 08:46:07,Наполнитель для туалета,20
2066,Добрые сердца,2019-11-16 08:54:52,Повысить иммунитет,120
25457,"Самарский приют для животных ""НадеждА""",2019-11-16 10:47:31,Избавить питомца от глистов,426
25457,"Самарский приют для животных ""НадеждА""",2019-11-16 10:47:31,Защитить питомца от вирусов (Фелиген),646
6592,Добрые сердца,2019-11-16 12:55:10,Порция вкуснейшего корма,300
27286,"Самарский приют для животных ""НадеждА""",2019-11-16 22:27:10,Рекламировать питомца (пакет Standart),155
27286,"Самарский приют для животных ""НадеждА""",2019-11-16 22:27:10,Избавить кошку от простуды,50
27286,"Самарский приют для животных ""НадеждА""",2019-11-16 22:27:10,Избавить питомца от глистов,50
27286,Добрые сердца,2019-11-16 22:27:10,Повысить иммунитет,50
28600,Котофей,2019-11-17 01:38:38,"1 КотоДень",87
971,Котофей,2019-11-17 07:29:54,"1 КотоДень",87
28589,"Самарский приют для животных ""НадеждА""",2019-11-17 08:30:10,"1 КотоДень",105
28589,"Самарский приют для животных ""НадеждА""",2019-11-17 08:33:47,Избавить питомца от блох,40
28412,"Самарский приют для животных ""НадеждА""",2019-11-17 11:40:46,Лечение дерматита,100
28412,Добрые сердца,2019-11-17 11:40:46,Профилактическое обследование,100
28576,Шереметьевский приют,2019-11-17 12:30:44,Порция вкуснейшего корма,140
27021,Матроскин,2019-11-17 14:40:36,Порция вкуснейшего корма,39
27021,Лёхин дом,2019-11-17 14:40:36,Новогодний КотоНабор,50
27021,Котофей,2019-11-17 14:40:36,"1 КотоДень",87
27744,Лёхин дом,2019-11-17 15:46:25,Новогодний КотоНабор,300
22951,Кот и Пёс,2019-11-17 17:15:19,ПёсоДень,155
28601,Добрые сердца,2019-11-17 17:28:47,Порция вкуснейшего корма,100
5648,Кот и Пёс,2019-11-17 19:22:27,ПёсоДень,155
5648,Добрые сердца,2019-11-17 19:22:27,Порция вкуснейшего корма,150
27940,"Самарский приют для животных ""НадеждА""",2019-11-17 19:57:18,Избавить питомца от глистов,50
27940,"Кошачий приют ""ДОМИК""",2019-11-17 19:57:18,КотоДень,76
27940,Лёхин дом,2019-11-17 19:57:18,Порция корма ,48
27940,Лёхин дом,2019-11-17 19:57:18,Новогодний КотоНабор,60
27940,Добрые сердца,2019-11-17 19:57:18,Порция вкуснейшего корма,60
5042,"Самарский приют для животных ""НадеждА""",2019-11-17 20:44:03,Избавить кошку от простуды,971
5042,"Самарский приют для животных ""НадеждА""",2019-11-17 20:44:03,Избавить питомца от глистов,476
5042,"Самарский приют для животных ""НадеждА""",2019-11-17 20:44:03,Избавить питомца от глистов,476
5042,Мокрый нос,2019-11-17 20:44:03,"1 ПёсоДень",145
5042,"Кошачий приют ""ДОМИК""",2019-11-17 20:44:03,КотоДень,76
5042,Кот и Пёс,2019-11-17 20:44:03,ПёсоДень,155
5042,Кот и Пёс,2019-11-17 20:44:03,ПёсоДень,155
5042,Шереметьевский приют,2019-11-17 20:44:03,Порция вкуснейшего корма,140
5042,"4 лапы",2019-11-17 20:44:03,ПёсоДень,155
5042,Лаюшки и Мяушки,2019-11-17 20:44:03,ПёсоДень,155
5042,"Самарский приют для животных ""НадеждА""",2019-11-17 20:46:53,Корм с курицей и рисом ,42
5042,"Приют для кошек ""ЯрКот""",2019-11-17 20:48:33,Порция вкуснейшего корма,34
28039,"Самарский приют для животных ""НадеждА""",2019-11-18 12:11:28,Корм с курицей и рисом ,42
28039,"Самарский приют для животных ""НадеждА""",2019-11-18 12:11:28,Корм с курицей и рисом ,42
28039,Шереметьевский приют,2019-11-18 12:11:28,Порция вкуснейшего корма,140
28039,Лёхин дом,2019-11-18 12:11:28,Порция корма ,48
28039,Котофей,2019-11-18 12:11:28,"1 КотоДень",87
28039,Добрые сердца,2019-11-18 12:11:28,Порция вкуснейшего корма,36
25958,Лаюшки и Мяушки,2019-11-18 12:27:56,ПёсоДень,155
25958,Мокрый нос,2019-11-18 12:35:37,"1 ПёсоДень",145
23865,"Самарский приют для животных ""НадеждА""",2019-11-18 13:03:28,Лечение дерматита,100
23865,"Самарский приют для животных ""НадеждА""",2019-11-18 13:03:28,Избавить питомца от блох,100
23865,"Самарский приют для животных ""НадеждА""",2019-11-18 13:03:28,Избавить питомца от блох,100
23865,"Самарский приют для животных ""НадеждА""",2019-11-18 13:03:28,Успокаивающий ошейник с феромонами ,100
23865,"Кошачий приют ""ДОМИК""",2019-11-18 13:03:28,КотоДень,76
23865,Добрые сердца,2019-11-18 13:03:28,Порция вкуснейшего корма,100
5870,Мокрый нос,2019-11-18 13:16:14,"1 ПёсоДень",145
5870,Кот и Пёс,2019-11-18 13:16:14,ПёсоДень,155
5870,Добрые сердца,2019-11-18 13:16:14,КотоДень,99
5870,Добрые сердца,2019-11-18 13:16:14,Порция вкуснейшего корма,36
1810,Добрые сердца,2019-11-18 13:51:38,КотоДень,99
27249,"Самарский приют для животных ""НадеждА""",2019-11-18 15:54:20,Корм с курицей и рисом ,42
27249,Котофей,2019-11-18 15:55:13,"1 КотоДень",87
27249,Котофей,2019-11-18 16:00:23,Рекламировать питомца (пакет Mini),78
27244,Матроскин,2019-11-18 16:44:22,Порция вкуснейшего корма,39
27244,Мокрый нос,2019-11-18 16:44:22,Рекламировать питомца (пакет Maxi),265
27244,Мокрый нос,2019-11-18 16:44:22,"1 ПёсоДень",145
27244,Мокрый нос,2019-11-18 16:44:22,"1 ПёсоДень",145
27244,Кот и Пёс,2019-11-18 16:44:22,ПёсоДень,155
27244,Убежище,2019-11-18 16:44:22,Рекламировать питомца (пакет Maxi),265
27244,Котофей,2019-11-18 16:44:22,"1 КотоНеделя",723
4726,"Самарский приют для животных ""НадеждА""",2019-11-18 17:11:27,Избавить питомца от блох,200
4726,"Самарский приют для животных ""НадеждА""",2019-11-18 17:11:27,Избавить питомца от блох,307
4726,"Самарский приют для животных ""НадеждА""",2019-11-18 17:11:27,Успокаивающий ошейник с феромонами ,247
4726,Мокрый нос,2019-11-18 17:11:27,"1 ПёсоДень",145
4726,"Кошачий приют ""ДОМИК""",2019-11-18 17:11:27,КотоДень,76
4726,"Кошачий приют ""ДОМИК""",2019-11-18 17:11:27,КотоДень,76
4726,Кот и Пёс,2019-11-18 17:11:27,ПёсоДень,155
4726,Шереметьевский приют,2019-11-18 17:11:27,Порция вкуснейшего корма,140
4726,Добрые сердца,2019-11-18 17:11:27,Порция вкуснейшего корма,36
4726,Добрые сердца,2019-11-18 17:11:27,Рекламировать питомца (пакет Standart),155
4726,Добрые сердца,2019-11-18 17:11:27,Порция вкуснейшего корма,100
27314,Мокрый нос,2019-11-18 19:15:54,Новогодний ПёсоНабор,500
28603,Матроскин,2019-11-18 19:16:15,Наполнитель для туалета,20
28604,Добрые сердца,2019-11-18 19:48:22,Профилактическое обследование,1214
25739,"Самарский приют для животных ""НадеждА""",2019-11-18 19:55:52,Избавить питомца от блох,147
25739,Добрые сердца,2019-11-18 19:55:52,Порция вкуснейшего корма,100
26454,Мокрый нос,2019-11-18 20:02:17,"1 ПёсоДень",145
26454,Шереметьевский приют,2019-11-18 20:02:17,Порция вкуснейшего корма,140
28605,Котофей,2019-11-18 21:07:12,Наполнитель для туалета,20
28606,"Кошачий приют ""ДОМИК""",2019-11-18 21:19:27,КотоДень,76
28606,"Кошачий приют ""ДОМИК""",2019-11-18 21:22:28,Наполнитель для туалета,20
28565,Кот и Пёс,2019-11-18 22:37:43,КотоДень,94
28565,Центральный приют Спб для бездомных кошек!,2019-11-18 22:37:43,"1 КотоДень",98
28565,Центральный приют Спб для бездомных кошек!,2019-11-18 22:37:43,"1 КотоДень",98
27826,Убежище,2019-11-18 23:11:40,"1 КотоДень",118
27826,Убежище,2019-11-18 23:11:40,"1 КотоДень",118
27579,Мокрый нос,2019-11-18 23:40:38,"1 ПёсоДень",145
27579,"Кошачий приют ""ДОМИК""",2019-11-18 23:40:38,КотоДень,76
27579,Добрые сердца,2019-11-18 23:40:38,Порция вкуснейшего корма,500
27579,Лаюшки и Мяушки,2019-11-18 23:40:38,ПёсоДень,155
25958,"Приют для кошек ""ЯрКот""",2019-11-19 02:02:28,Рекламировать питомца (пакет Maxi),265
27129,Матроскин,2019-11-19 04:05:15,Наполнитель для туалета,20
26899,Котофей,2019-11-19 09:10:35,Защитить питомца от вирусов,100
28412,Котофей,2019-11-19 09:34:36,Защитить питомца от вирусов,100
1810,Убежище,2019-11-19 11:30:20,"1 КотоДень",118
3687,Мокрый нос,2019-11-19 12:10:22,"1 ПёсоДень",145
3687,Мокрый нос,2019-11-19 12:10:22,"1 ПёсоДень",145
3687,Мокрый нос,2019-11-19 12:10:22,"1 ПёсоДень",145
28472,"Самарский приют для животных ""НадеждА""",2019-11-19 12:14:32,Корм с курицей и рисом ,42
28472,"Самарский приют для животных ""НадеждА""",2019-11-19 12:14:32,Наполнитель для туалета,20
28472,"Самарский приют для животных ""НадеждА""",2019-11-19 12:14:32,Рекламировать питомца (пакет Standart),155
28472,Люськин дом,2019-11-19 12:14:32,Дневная порция вкуснейшего корма,51
28472,Люськин дом,2019-11-19 12:14:32,Наполнитель для туалета Fresh Step,36
6277,"Самарский приют для животных ""НадеждА""",2019-11-19 12:28:04,"1 КотоДень",105
6277,"Самарский приют для животных ""НадеждА""",2019-11-19 12:28:04,Рекламировать питомца (пакет Standart),155
6277,"Самарский приют для животных ""НадеждА""",2019-11-19 12:28:04,Рекламировать питомца (пакет Standart),155
6277,Матроскин,2019-11-19 12:28:04,Рекламировать питомца (пакет Standart),155
6277,Люськин дом,2019-11-19 12:28:04,"1 КотоДень",97
6277,Люськин дом,2019-11-19 12:28:04,Рекламировать питомца (пакет Standart),155
6277,Убежище,2019-11-19 12:28:04,"1 КотоДень",118
6277,Котофей,2019-11-19 12:28:04,Рекламировать питомца (пакет Standart),155
6277,Котофей,2019-11-19 12:28:04,"1 КотоДень",87
6277,Котофей,2019-11-19 12:28:04,Рекламировать питомца (пакет Standart),155
6277,"4 лапы",2019-11-19 12:28:04,ПёсоДень,155
6277,"4 лапы",2019-11-19 12:28:04,Рекламировать питомца (пакет Standart),155
6277,Лаюшки и Мяушки,2019-11-19 12:28:04,ПёсоДень,155
6277,Лаюшки и Мяушки,2019-11-19 12:28:04,ПёсоДень,155
28179,Люськин дом,2019-11-19 12:44:20,"1 КотоДень",97
26671,Лёхин дом,2019-11-19 12:58:15,Порция корма ,48
26671,Лёхин дом,2019-11-19 12:58:15,Наполнитель для туалета,20
27249,Кот и Пёс,2019-11-19 13:09:43,КотоДень,94
26645,"Кошачий приют ""ДОМИК""",2019-11-19 13:19:45,КотоДень,76
6372,"Кошачий приют ""ДОМИК""",2019-11-19 15:19:12,КотоДень,76
6372,"Кошачий приют ""ДОМИК""",2019-11-19 15:19:12,Наполнитель для туалета,20
6372,"Кошачий приют ""ДОМИК""",2019-11-19 15:19:12,Рекламировать питомца (пакет Mini),78
28438,Мокрый нос,2019-11-19 16:35:10,"1 ПёсоДень",145
28438,Мокрый нос,2019-11-19 16:37:54,"1 ПёсоДень",145
24,"Кошачий приют ""ДОМИК""",2019-11-19 17:35:22,Наполнитель для туалета,20
28147,Мокрый нос,2019-11-19 17:58:08,"1 ПёсоДень",145
28147,Люськин дом,2019-11-19 17:58:08,Дневная порция вкуснейшего корма,51
28147,Котофей,2019-11-19 17:58:08,"1 КотоДень",87
28609,Убежище,2019-11-19 19:08:51, Новогодний КотоНабор,60
28436,"Приют для кошек ""Потеряшка""",2019-11-19 19:42:09,Порция вкуснейшего корма,39
28611,"Самарский приют для животных ""НадеждА""",2019-11-19 19:53:10,"1 КотоДень",105
28611,"Самарский приют для животных ""НадеждА""",2019-11-19 20:01:28,Стерилизация,50
28612,Добрые сердца,2019-11-19 20:04:32,Повысить иммунитет,10
28572,Котофей,2019-11-19 20:36:57,"1 КотоДень",87
28572,Котофей,2019-11-19 20:36:57,Защитить питомца от вирусов,100
28606,Добрые сердца,2019-11-19 20:39:40,Порция вкуснейшего корма,100
28438,Мокрый нос,2019-11-19 21:13:29,"1 ПёсоДень",145
28438,Мокрый нос,2019-11-19 21:16:29,Рекламировать питомца (пакет Standart),155
28438,Мокрый нос,2019-11-19 21:18:36,Рекламировать питомца (пакет Standart),155
27868,Мокрый нос,2019-11-19 21:53:33,"1 ПёсоДень",145
27868,Мокрый нос,2019-11-19 21:58:20,"1 ПёсоДень",145
27992,Люськин дом,2019-11-19 23:26:40,"1 КотоДень",97
23251,"Самарский приют для животных ""НадеждА""",2019-11-19 23:41:16,Корм с курицей и рисом ,42
23251,Матроскин,2019-11-19 23:41:16,Порция вкуснейшего корма,39
23251,"Кошачий приют ""ДОМИК""",2019-11-19 23:41:16,Наполнитель для туалета,20
23251,Кот и Пёс,2019-11-19 23:41:16,Наполнитель для туалета,20
25208,"Самарский приют для животных ""НадеждА""",2019-11-19 23:50:19,"1 КотоДень",105
28520,Мокрый нос,2019-11-20 01:07:15,"1 ПёсоДень",145
28520,Лаюшки и Мяушки,2019-11-20 01:07:15,ПёсоДень,155
6163,"Самарский приют для животных ""НадеждА""",2019-11-20 01:20:32,Кастрация питомца,50
26075,Матроскин,2019-11-20 08:23:14,Наполнитель для туалета,20
26075,"Приют для кошек ""ЯрКот""",2019-11-20 08:37:49,Наполнитель для туалета,20
27131,Мокрый нос,2019-11-20 09:30:01,"1 ПёсоДень",145
27131,"Кошачий приют ""ДОМИК""",2019-11-20 09:30:01,КотоДень,76
27131,ФлагманВет,2019-11-20 09:30:01,"1 КотоДень",97
28618,Лёхин дом,2019-11-20 10:01:44,Порция корма ,48
5783,Добрые сердца,2019-11-20 10:27:00,Порция вкуснейшего корма,634
5783,Добрые сердца,2019-11-20 10:27:00,Повысить иммунитет,1334
5783,Лаюшки и Мяушки,2019-11-20 10:27:00,Избавить питомца от глистов,3400
28606,"Приют для кошек ""ЯрКот""",2019-11-20 10:30:14,"1 КотоДень",88
1810,ФлагманВет,2019-11-20 11:03:21,"1 КотоДень",97
1810,"Приют для кошек ""ЯрКот""",2019-11-20 11:03:21,"1 КотоДень",88
1810,Котофей,2019-11-20 11:06:27,"1 КотоДень",87
28487,"Самарский приют для животных ""НадеждА""",2019-11-20 11:13:08,"1 КотоДень",105
28487,"Самарский приют для животных ""НадеждА""",2019-11-20 11:13:08,Лечение дерматита,500
28487,"Кошачий приют ""ДОМИК""",2019-11-20 11:13:08,КотоДень,76
28487,Котофей,2019-11-20 11:13:08,Защитить питомца от вирусов,283
28487,Котофей,2019-11-20 11:13:08,Защитить питомца от вирусов,383
28487,Котофей,2019-11-20 11:20:30,Защитить питомца от вирусов,283
28535,"Приют для кошек ""ЯрКот""",2019-11-20 12:13:34,"1 КотоДень",88
28619,"Кошачий приют ""ДОМИК""",2019-11-20 12:15:30,КотоДень,76
28003,Кот и Пёс,2019-11-20 12:39:13,ПёсоДень,155
26075,"Кошачий приют ""ДОМИК""",2019-11-20 12:51:50,Наполнитель для туалета,20
28620,"Самарский приют для животных ""НадеждА""",2019-11-20 12:54:10,Лечение дерматита,200
27551,Мокрый нос,2019-11-20 13:47:00,"1 ПёсоДень",145
27551,Шереметьевский приют,2019-11-20 13:47:00,Порция вкуснейшего корма,140
27551,Лаюшки и Мяушки,2019-11-20 13:47:00,ПёсоДень,155
27551,Кот и Пёс,2019-11-20 13:50:18,Рекламировать питомца (пакет Maxi),265
27551,Кот и Пёс,2019-11-20 13:50:18,ПёсоДень,155
27867,Мокрый нос,2019-11-20 15:14:41,"1 ПёсоДень",145
27867,Мокрый нос,2019-11-20 15:14:41,"1 ПёсоДень",145
27867,Мокрый нос,2019-11-20 15:14:41,Новогодний ПёсоНабор,300
28096,"Самарский приют для животных ""НадеждА""",2019-11-20 15:35:48,Корм с курицей и рисом ,42
28096,"Самарский приют для животных ""НадеждА""",2019-11-20 15:35:48,Наполнитель для туалета,20
28096,"Самарский приют для животных ""НадеждА""",2019-11-20 15:35:48,Наполнитель для туалета,20
28096,"Самарский приют для животных ""НадеждА""",2019-11-20 15:35:48,Корм с курицей и рисом ,42
28096,"Самарский приют для животных ""НадеждА""",2019-11-20 15:35:48,Лечение дерматита,200
28096,"Самарский приют для животных ""НадеждА""",2019-11-20 15:35:48,"1 КотоДень",105
28096,Матроскин,2019-11-20 15:35:48,Наполнитель для туалета,20
28096,Мокрый нос,2019-11-20 15:35:48,"1 ПёсоДень",145
28096,Мокрый нос,2019-11-20 15:35:48,"1 ПёсоДень",145
28096,Мокрый нос,2019-11-20 15:35:48,"1 ПёсоДень",145
28096,Люськин дом,2019-11-20 15:35:48,Дневная порция вкуснейшего корма,51
28096,Люськин дом,2019-11-20 15:35:48,"1 КотоДень",97
28096,Кот и Пёс,2019-11-20 15:35:48,КотоДень,94
28096,Шереметьевский приют,2019-11-20 15:35:48,Порция вкуснейшего корма,140
28096,Шереметьевский приют,2019-11-20 15:35:48,Порция вкуснейшего корма,140
28096,Лёхин дом,2019-11-20 15:35:48,Наполнитель для туалета,20
28096,Котофей,2019-11-20 15:35:48,"1 КотоДень",87
28096,Котофей,2019-11-20 15:35:48,"1 КотоДень",87
28096,Лаюшки и Мяушки,2019-11-20 15:35:48,Избавить питомца от глистов,150
28096,Лаюшки и Мяушки,2019-11-20 15:35:48,ПёсоДень,155
27345,"Самарский приют для животных ""НадеждА""",2019-11-20 17:10:12,"1 КотоДень",105
27345,"Самарский приют для животных ""НадеждА""",2019-11-20 17:10:12,Лечение дерматита,200
27345,"Самарский приют для животных ""НадеждА""",2019-11-20 17:10:12,"1 КотоДень",105
27345,Мокрый нос,2019-11-20 17:10:12,"1 ПёсоДень",145
27345,Мокрый нос,2019-11-20 17:10:12,Новогодний ПёсоНабор,100
27345,Лаюшки и Мяушки,2019-11-20 17:10:12,ПёсоДень,155
28438,Мокрый нос,2019-11-20 17:39:59,"1 ПёсоНеделя",887
28437,"Самарский приют для животных ""НадеждА""",2019-11-20 17:56:15,Лечение дерматита,100
28437,"Самарский приют для животных ""НадеждА""",2019-11-20 17:56:15,Кастрация питомца,60
28437,"Самарский приют для животных ""НадеждА""",2019-11-20 17:56:15,Успокаивающий ошейник с феромонами ,60
28437,"Самарский приют для животных ""НадеждА""",2019-11-20 17:56:15,Стерилизация,60
28437,"Самарский приют для животных ""НадеждА""",2019-11-20 17:59:30,Корм с курицей и рисом ,42
28437,"Самарский приют для животных ""НадеждА""",2019-11-20 17:59:30,Корм с курицей и рисом ,42
28437,"Приют для кошек ""ЯрКот""",2019-11-20 18:10:43,Порция вкуснейшего корма,34
1692,"Самарский приют для животных ""НадеждА""",2019-11-20 18:14:04,"1 КотоДень",105
1692,"Приют для кошек ""ЯрКот""",2019-11-20 18:14:04,"1 КотоДень",88
27286,"Самарский приют для животных ""НадеждА""",2019-11-20 18:19:56,Лечение дерматита,50
27286,"Самарский приют для животных ""НадеждА""",2019-11-20 18:19:56,Повысить иммунитет,50
27286,"Самарский приют для животных ""НадеждА""",2019-11-20 18:19:56,Кастрация питомца,50
27286,"Самарский приют для животных ""НадеждА""",2019-11-20 18:19:56,Успокаивающий ошейник с феромонами ,50
27286,Центральный приют Спб для бездомных кошек!,2019-11-20 18:19:56, Новогодний КотоНабор,40
27286,"Приют для кошек ""ЯрКот""",2019-11-20 18:19:56,"1 КотоДень",88
27286,Котофей,2019-11-20 18:22:37,"1 КотоДень",87
27286,Котофей,2019-11-20 18:22:37,Рекламировать питомца (пакет Mini),78
28147,Центральный приют Спб для бездомных кошек!,2019-11-20 18:34:30,Дневная порция вкуснейшего корма,61
28147,Добрые сердца,2019-11-20 18:34:30,Порция вкуснейшего корма,36
28147,"4 лапы",2019-11-20 18:34:30,ПёсоДень,155
28623,Шереметьевский приют,2019-11-20 18:40:37,ПёсоДень,295
28438,Мокрый нос,2019-11-20 18:52:18,"1 ПёсоНеделя",887
28611,Убежище,2019-11-20 20:13:20,"1 КотоДень",118
26090,Добрые сердца,2019-11-20 20:18:41,Порция вкуснейшего корма,36
26090,Добрые сердца,2019-11-20 20:18:41,Рекламировать питомца (пакет Mini),78
26090,Добрые сердца,2019-11-20 20:18:41,Порция вкуснейшего корма,36
26090,Добрые сердца,2019-11-20 20:18:41,Рекламировать питомца (пакет Mini),78
26090,Добрые сердца,2019-11-20 20:18:41,Порция вкуснейшего корма,36
26090,Добрые сердца,2019-11-20 20:18:41,Рекламировать питомца (пакет Mini),78
26090,Добрые сердца,2019-11-20 20:18:41,Порция вкуснейшего корма,36
26090,Добрые сердца,2019-11-20 20:18:41,Рекламировать питомца (пакет Mini),78
26090,Добрые сердца,2019-11-20 20:18:41,Порция вкуснейшего корма,36
26090,Добрые сердца,2019-11-20 20:18:41,Рекламировать питомца (пакет Mini),78
26090,Кот и Пёс,2019-11-20 20:22:28,ПёсоДень,155
26090,Лёхин дом,2019-11-20 20:22:28,Порция корма ,48
